代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
688475,萤石网络,39.5,4.36,0.56,17961965.0,3.27,66.71,22218750000.0,3309054751.0,52.33,42.09,4665.0,39.5,37.55,37.9,37.85
688316,青云科技-U,74.21,-4.27,2.01,53071415.0,3.04,-14.37,3522168007.0,2642373726.0,162.78,145.81,7162.0,76.23,71.02,76.23,77.52
688258,卓易信息,73.95,-2.05,0.61,38503762.0,3.41,113.97,6430439904.0,6430439904.0,80.81,57.27,5276.0,75.0,71.2,75.0,75.5
300560,中富通,18.77,5.63,2.1,65686883.0,3.13,159.68,4276076138.0,3205921425.0,43.83,40.07,35837.0,18.77,17.91,17.91,17.77
000936,华西股份,8.09,0.75,2.3,161176810.13,3.06,36.41,7167844256.0,7165896605.0,59.57,56.78,203535.0,8.09,7.8,7.96,8.03
300459,汤姆猫,8.79,1.97,1.93,501723928.87,3.05,57.89,30903978154.0,26376884398.0,179.05,175.55,579709.0,8.8,8.5,8.63,8.62
600992,贵绳股份,19.64,3.04,0.41,19398789.0,3.04,208.77,4813567600.0,4813567600.0,-16.32,-17.17,10077.0,19.64,19.02,19.19,19.06
600804,ST鹏博士,4.35,4.07,0.34,20141894.0,3.08,119.72,7209967991.0,6057940322.0,35.09,31.42,47466.0,4.35,4.17,4.22,4.18
301066,万事利,14.31,4.68,1.91,19373217.4,3.1,134.45,2695319868.0,1031015180.0,27.43,6.16,13781.0,14.33,13.69,13.74,13.67
300788,中信出版,28.87,3.37,0.38,20170364.08,3.18,43.54,5489674238.0,5489674238.0,42.57,39.07,7226.0,28.88,27.45,27.8,27.93
688086,*ST紫晶,2.84,-0.35,0.99,3665354.0,3.27,-1.83,540683469.0,377639509.0,17.36,16.87,13117.0,2.89,2.73,2.85,2.85
000681,视觉中国,18.49,5.54,2.47,259367876.91,3.18,120.94,12953676792.0,10803058759.0,50.33,41.9,144579.0,18.5,17.56,17.6,17.52
688766,普冉股份,188.8,1.63,0.81,43508593.0,3.74,118.44,9575975082.0,5539520573.0,24.25,15.4,2376.0,188.8,180.66,185.56,185.77
688107,安路科技-U,78.5,3.97,0.72,104000559.0,3.22,522.57,31407850000.0,14916018302.0,22.27,18.76,13665.0,78.5,74.32,75.0,75.5
002089,*ST新海,0.92,1.1,1.24,13800617.0,3.37,96.09,1264696047.0,1147058692.0,-56.6,-57.41,154012.0,0.92,0.88,0.9,0.91
300226,上海钢联,45.0,5.63,0.98,110596942.16,3.0,65.63,12068306865.0,11606909850.0,62.4,47.54,25288.0,45.0,42.6,42.91,42.6
300212,易华录,44.3,11.11,5.65,1602374095.73,3.02,-1729.02,29495573889.0,28384032931.0,117.05,80.89,361846.0,45.28,42.5,44.5,39.87
002919,名臣健康,43.88,7.81,1.6,112284925.1,3.64,-306.16,7503043087.0,7400897029.0,23.05,25.48,27055.0,43.88,39.66,40.0,40.7
300223,北京君正,103.85,3.54,1.47,608064815.8,3.08,51.26,50011035257.0,42596290128.0,47.43,45.82,60116.0,103.85,100.02,100.02,100.3
300089,*ST文化,2.1,2.94,0.92,7609450.0,3.45,-12.52,1010219427.0,851816557.0,-2.33,-7.89,37381.0,2.1,2.0,2.04,2.04
688205,德科立,66.01,3.17,3.59,54102114.0,3.14,63.19,6421452800.0,1557571960.0,32.34,31.81,8468.0,66.01,62.25,63.62,63.98
688521,芯原股份,108.83,4.43,1.08,234571820.0,3.31,735.03,54255724030.0,22657496834.0,146.95,140.61,22512.0,108.87,101.55,101.6,104.21
002411,*ST必康,5.61,4.47,0.26,21985949.07,3.13,21.16,8596112729.0,8595969674.0,-19.4,-23.26,40319.0,5.62,5.31,5.38,5.37
300496,中科创达,116.38,5.94,1.36,560035988.82,3.01,69.26,53241329675.0,42445459079.0,16.43,12.8,49466.0,116.45,110.9,113.21,109.85
002336,人人乐,15.66,1.03,1.46,82789749.0,3.03,-12.41,6890400000.0,5843920500.0,-16.52,-24.13,54450.0,15.66,14.98,15.07,15.5
603065,宿迁联盛,17.45,2.47,2.62,18607183.0,3.25,29.68,7310984131.0,731155000.0,35.8,35.8,10968.0,17.45,16.8,17.03,17.03
603477,巨星农牧,35.73,7.1,1.32,218029292.0,3.06,114.38,18082878253.0,17212348138.0,46.49,44.95,63421.0,35.73,33.15,33.5,33.36
833509,同惠电子,16.25,2.2,0.01,65124.4,4.17,36.8,1767156853.0,876241665.0,19.66,20.55,41.0,16.25,15.6,15.6,15.9
600279,重庆港,4.67,7.85,0.67,26357031.0,3.09,38.85,5542665542.0,4062545967.0,17.63,17.04,58586.0,4.69,4.31,4.33,4.33
300471,厚普股份,16.37,3.35,1.77,94174266.95,3.02,-48.24,6318804481.0,5520662082.0,37.1,31.7,59569.0,16.37,15.55,15.72,15.84
300943,春晖智控,14.54,2.76,1.05,14536975.0,4.08,44.95,2963542800.0,1433993251.0,20.46,16.79,10346.0,14.54,13.94,14.01,14.15
600787,中储股份,5.62,5.64,0.59,70438615.0,3.31,19.94,12296969574.0,12195847251.0,13.08,11.73,128915.0,5.62,5.32,5.34,5.32
