,symbol,name,abbreviation,ts_code,area,industry,list_date
3674,688531,日联科技,rlkj,688531.SH,江苏,专用机械,20230331
3675,002642,荣联科技,rlkj,002642.SZ,北京,软件服务,20111220
3676,688550,瑞联新材,rlxc,688550.SH,陕西,化工原料,20200902
3677,301088,戎美股份,rmgf,301088.SZ,江苏,服饰,20211028
3678,002976,瑞玛精密,rmjm,002976.SZ,江苏,元器件,20200306
3679,002970,锐明技术,rmjs,002970.SZ,深圳,通信设备,20191217
3680,600180,瑞茂通,rmt,600180.SH,山东,仓储物流,19980703
3681,600829,人民同泰,rmtt,600829.SH,黑龙江,医药商业,19940224
3682,603000,人民网,rmw,603000.SH,北京,互联网,20120427
3683,BK0706,人脑工程,rngc,,,,
3684,830964,润农节水,rnjs,830964.BJ,,,20200727
3685,603933,睿能科技,rnkj,603933.SH,福建,元器件,20170706
3686,301129,瑞纳智能,rnzn,301129.SZ,安徽,电器仪表,20211102
3687,836422,润普食品,rpsp,836422.BJ,,,20230301
3688,300119,瑞普生物,rpsw,300119.SZ,天津,农业综合,20100917
3689,BK1028,燃气,rq,,,,
3690,300126,锐奇股份,rqgf,300126.SZ,上海,轻工机械,20101013
3691,833781,瑞奇智造,rqzz,833781.BJ,,,20221226
3692,002336,人人乐,rrl,002336.SZ,深圳,超市连锁,20100113
3693,002146,荣盛发展,rsfz,002146.SZ,河北,全国地产,20070808
3694,603165,荣晟环保,rshb,603165.SH,浙江,造纸,20170117
3695,002593,日上集团,rsjt,002593.SZ,福建,钢加工,20110628
3696,603803,瑞斯康达,rskd,603803.SH,北京,通信设备,20170420
3697,688090,瑞松科技,rskj,688090.SH,广东,专用机械,20200217
3698,002493,荣盛石化,rssh,002493.SZ,浙江,化纤,20101102
3699,688215,瑞晟智能,rszn,688215.SH,浙江,专用机械,20200828
3700,301236,软通动力,rtdl,301236.SZ,北京,软件服务,20220315
3701,605133,嵘泰股份,rtgf,605133.SH,江苏,汽车配件,20210224
3702,603036,如通股份,rtgf,603036.SH,江苏,专用机械,20161209
3703,002440,闰土股份,rtgf,002440.SZ,浙江,染料涂料,20100706
3704,603579,荣泰健康,rtjk,603579.SH,上海,家用电器,20170111
3705,002066,瑞泰科技,rtkj,002066.SZ,北京,其他建材,20060823
3706,301238,瑞泰新材,rtxc,301238.SZ,江苏,化工原料,20220617
3707,300828,锐新科技,rxkj,300828.SZ,天津,机械基件,20200421
3708,300493,润欣科技,rxkj,300493.SZ,上海,元器件,20151210
3709,603893,瑞芯微,rxw,603893.SH,福建,半导体,20200207
3710,301231,荣信文化,rxwh,301231.SZ,陕西,出版业,20220908
3711,BK0892,乳业,ry,,,,
3712,003010,若羽臣,ryc,003010.SZ,广东,互联网,20200925
3713,BK1103,熔盐储能,rycn,,,,
3714,603286,日盈电子,rydz,603286.SH,江苏,汽车配件,20170627
3715,603218,日月股份,rygf,603218.SH,浙江,电气设备,20161228
3716,873223,荣亿精密,ryjm,873223.BJ,,,20220609
3717,002193,如意集团,ryjt,002193.SZ,山东,纺织,20071207
3718,300920,润阳科技,rykj,300920.SZ,浙江,塑料,20201225
3719,300906,日月明,rym,300906.SZ,江西,电器仪表,20201105
3720,600017,日照港,rzg,600017.SH,山东,港口,20061017
3721,002629,仁智股份,rzgf,002629.SZ,浙江,石油开采,20111103
3722,300442,润泽科技,rzkj,300442.SZ,上海,轻工机械,20150424
3723,BK0866,人造肉,rzr,,,,
3724,BK0596,融资融券,rzrq,,,,
3725,688768,容知日新,rzrx,688768.SH,安徽,电器仪表,20210726
3726,BK1114,人造太阳,rzty,,,,
3727,300311,任子行,rzx,300311.SZ,深圳,软件服务,20120425
3728,300149,睿智医药,rzyy,300149.SZ,广东,生物制药,20101222
3729,399632,深100EW,s100ew,,,,
3730,399633,深300EW,s300ew,,,,
3731,300507,苏奥传感,sacg,300507.SZ,江苏,汽车配件,20160429
3732,600703,三安光电,sagd,600703.SH,湖北,半导体,19960528
3733,399674,深A医药卫生指数,sayy,,,,
3734,831768,拾比佰,sbb,831768.BJ,,,20210628
3735,300701,森霸传感,sbcg,300701.SZ,河南,元器件,20170915
3736,300322,硕贝德,sbd,300322.SZ,广东,通信设备,20120608
3737,002032,苏泊尔,sbe,002032.SZ,浙江,家用电器,20040817
3738,300661,圣邦股份,sbgf,300661.SZ,北京,半导体,20170606
3739,301233,盛帮股份,sbgf,301233.SZ,四川,汽车配件,20220706
3740,600604,市北高新,sbgx,600604.SH,上海,园区开发,19920327
3741,002996,顺博合金,sbhj,002996.SZ,重庆,铝,20200828
3742,002112,三变科技,sbkj,002112.SZ,浙江,电气设备,20070208
3743,001300,三柏硕,sbs,001300.SZ,山东,文教休闲,20221019
3744,603916,苏博特,sbt,603916.SH,江苏,化工原料,20171110
3745,BK0520,社保重仓,sbzc,,,,
3746,399351,深报指数,sbzs,,,,
3747,399352,深报综指,sbzz,,,,
3748,399088,深创100,sc100,,,,
3749,BK0568,深成500,sc500,,,,
3750,BK0169,四川板块,scbk,,,,
3751,000570,苏常柴A,scca,000570.SZ,江苏,农用机械,19940701
3752,600839,四川长虹,scch,600839.SH,四川,家用电器,19940311
3753,399681,深成原材料行业指数,sccl,,,,
3754,601107,四川成渝,sccy,601107.SH,四川,路桥,20090727
3755,399688,深成电信业务行业指数,scdx,,,,
3756,600990,四创电子,scdz,600990.SH,安徽,通信设备,20040510
3757,399689,深成公用事业行业指数,scgy,,,,
3758,399682,深成工业行业指数,scgy,,,,
3759,600008,首创环保,schb,600008.SH,北京,环境保护,20000427
3760,001337,四川黄金,schj,001337.SZ,四川,黄金,20230303
3761,301091,深城交,scj,301091.SZ,深圳,建筑工程,20211029
3762,600678,四川金顶,scjd,600678.SH,四川,水泥,19931008
3763,603109,神驰机电,scjd,603109.SH,重庆,电气设备,20191231
3764,399686,深成金融地产行业指数,scjr,,,,
